id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link
6429;UAII;medium_airport;Shymkent Airport;42.364200592041016;69.47889709472656;1385;AS;KZ;KZ-YUZ;Shymkent;yes;UAII;CIT;;;https://en.wikipedia.org/wiki/Shymkent_Airport
337747;UAIT;medium_airport;Hazrat Sultan International Airport;43.313126;68.549881;951;AS;KZ;KZ-YUZ;Turkıstan;yes;UAIT;HSA;;;https://en.wikipedia.org/wiki/Hazret_Sultan_International_Airport
6430;UAKD;medium_airport;Zhezkazgan National Airport;47.708953;67.738094;1250;AS;KZ;KZ-ULY;Zhezkazgan;yes;UAKD;DZN;;;https://en.wikipedia.org/wiki/Dzhezkazgan_Airport
6431;UAKK;medium_airport;Sary-Arka Airport;49.670799;73.334396;1765;AS;KZ;KZ-KAR;Karaganda;yes;UAKK;KGF;;;https://en.wikipedia.org/wiki/Sary-Arka_Airport
44335;UAON;medium_airport;Yubileyniy Airfield;46.052421;63.249185;328;AS;KZ;KZ-KZY;Töretam;no;UAON;;;;https://en.wikipedia.org/wiki/Yubileyniy_Airport
6432;UARR;medium_airport;Uralsk Airport;51.15079879760742;51.54309844970703;125;AS;KZ;KZ-ZAP;Uralsk;yes;UARR;URA;;;https://en.wikipedia.org/wiki/Oral_Ak_Zhol_Airport
32501;UASA;medium_airport;Ayaguz Airport;47.919218;80.452194;2119;AS;KZ;KZ-ABA;Ayaguz;no;UASA;;;;https://kk.wikipedia.org/wiki/%D0%90%D1%8F%D0%B3%D3%A9%D0%B7_%D3%99%D1%83%D0%B5%D0%B6%D0%B0%D0%B9%D1%8B
41886;UASB;medium_airport;Ekibastuz Airport;51.590999603271484;75.21499633789062;621;AS;KZ;KZ-PAV;Ekibastuz;no;UASB;EKB;;;https://en.wikipedia.org/wiki/Ekibastuz_Airport
6433;UASK;medium_airport;Ust-Kamenogorsk Airport;50.036571;82.493477;939;AS;KZ;KZ-VOS;Ust-Kamenogorsk (Oskemen);yes;UASK;UKK;;;https://en.wikipedia.org/wiki/Ust-Kamenogorsk_Airport
6434;UASP;medium_airport;Pavlodar Airport;52.19499969482422;77.07389831542969;410;AS;KZ;KZ-PAV;Pavlodar;yes;UASP;PWQ;;;https://en.wikipedia.org/wiki/Pavlodar_Airport
6435;UASS;medium_airport;Semey Airport;50.351295;80.234398;761;AS;KZ;KZ-ABA;Semey;yes;UASS;PLX;;;https://en.wikipedia.org/wiki/Semey_Airport
6436;UATE;medium_airport;Aktau Airport;43.860093;51.09086;73;AS;KZ;KZ-MAN;Aktau;yes;UATE;SCO;;http://aktau-airport.kz/;https://en.wikipedia.org/wiki/Aktau_Airport
6437;UATG;medium_airport;Atyrau International Airport;47.122559;51.819321;-72;AS;KZ;KZ-ATY;Atyrau;yes;UATG;GUW;;;https://en.wikipedia.org/wiki/Atyrau_Airport
44391;UATR;medium_airport;Shalkar Airport;47.904999;59.619999;561;AS;KZ;KZ-AKT;Shalkar;no;UATR;;;;https://kk.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BB%D2%9B%D0%B0%D1%80_%D3%99%D1%83%D0%B5%D0%B6%D0%B0%D0%B9%D1%8B
6438;UATT;medium_airport;Aktobe Airport;50.2458;57.206699;738;AS;KZ;KZ-AKT;Aktobe;yes;UATT;AKX;;;https://en.wikipedia.org/wiki/Aktobe_Airport
6439;UAUU;medium_airport;Kostanay West Airport;53.20690155029297;63.55030059814453;595;AS;KZ;KZ-KUS;Kostanay;yes;UAUU;KSN;;;https://en.wikipedia.org/wiki/Kostanai_Airport
6440;UBBB;large_airport;Heydar Aliyev International Airport;40.467498779296875;50.04669952392578;10;AS;AZ;AZ-BA;Baku;yes;UBBB;GYD;;http://www.airport-baku.com/;https://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport
