@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
CYHF;0.8676698030043257;-1.4606113188308525;251.7648;0.5486150160994466;1366.439;26.077;4;;378.42;0.0523598775598298;378.42;0.0523598775598298;;;251.7648;251.7648
CYHM;0.7535723571763021;-1.3951301615330536;233.47680000000005;1.8712976926253195;3047.814;61.013;12;;727.883;0.0523598775598298;1098.98;0.0523598775598298;488.016;119.622;235.656;233.47680000000005
CYHM;0.753496542909762;-1.3949757632084103;233.47680000000005;3.9925980926355584;1831.306;44.891;24;;608.729;0.0523598775598298;606.5;0.0523598775598298;;;230.124;235.0008
CYHN;0.8585818750156469;-1.4793290942803787;333.603;1.0304966701171892;1068.235;25.0;7;;229.317;0.0523598775598298;229.317;0.0523598775598298;;;335.58480000000003;331.6224
CYHT;1.0609784930757615;-2.40062424852726;648.462;4.336803026534695;1524.21;43.343;23;;;;;;;;652.8816;644.0424
CYHY;1.061853645780813;-2.020901023926972;162.915;5.8488658824073285;1819.211;37.0;32;;;;604.806;0.0523598775598298;;;164.8968;161.8488
CYHY;1.0618859879737097;-2.020734711597491;162.915;1.1348174429698432;1207.803;37.345;5;;;;;;;;163.3728;161.544
CYHZ;0.7832589616968252;-1.1085570089766863;137.541;0.6096710141106307;3192.819;70.784;5;;1291.609;0.0523598775598298;;;;108.063;136.8552;135.593
CYHZ;0.7834373265207218;-1.108375809992831;137.541;2.183521108591157;2334.4632;60.215;14;;;;862.433;0.0523598775598298;;;132.588;145.0848
CYIB;0.8512697715800458;-1.5993978264593045;425.8056;0.6786917523501209;1053.0;29.384;4;;221.698;0.0523598775598298;221.698;0.0523598775598298;;;422.148;429.4632
CYID;0.7774728807747586;-1.1481773792631889;146.151;0.7409719766585314;1196.727;23.233;6;;;;;;;;140.208;152.0952
CYIF;0.8937820363750861;-1.0237649975366818;4.8768;6.124644833916177;1392.75;23.012;1;;;;391.575;0.0523598775598298;;;5.7912;3.9624
CYIV;0.9399832773222192;-1.652018256360947;234.238;2.128724856115298;1349.963;25.0;12;;370.181;0.0523598775598298;370.181;0.0523598775598298;;;234.3912;234.08640000000003
CYJF;1.0513074810507206;-2.1549569148186296;215.4936;0.8442930423689355;997.543;28.424;3;;;;;;;;215.4936;215.4936
CYJT;0.8472600008998593;-1.0218880151242589;14.173;1.2408367702505378;3052.781;56.59;9;;1113.7392;0.0523598775598298;1176.358;0.0523598775598298;;;3.6576;24.6888
CYJT;0.8471734488146175;-1.0219365918067205;14.173;3.0726970030977934;1205.921;45.909;20;;;;293.486;0.0523598775598298;;;14.173;14.173
CYKA;0.8849124284288848;-2.1020690868987857;344.652;1.0635666451852022;636.5;16.61;4;;;;;;;;344.11920000000003;344.11920000000003
CYKA;0.8849351270658028;-2.102225100284989;344.652;1.8022603213980577;2430.987;42.784;9;;298.338;0.0541052068118242;910.693;0.0523598775598298;;;345.03360000000004;345.33840000000004
CYKF;0.7585550912643199;-1.4028565146047671;314.706;1.1361192840589056;2127.912;39.538;8;;;;;;;;311.8104;321.2592
CYKF;0.7585027187970821;-1.4029924762604968;314.706;2.240026073311303;1242.477;40.915;14;;316.439;0.0523598775598298;;;;;313.0296;312.7248
CYKJ;0.9993125286008196;-1.843369743444165;510.8448;0.7537843688842517;1636.511;61.14;3;;513.456;0.0523598775598298;;;;;513.5880000000001;508.1016
CYKL;0.9565307006688212;-1.1659723225816243;516.0264000000001;2.605512155845857;1521.379;42.834;17;;455.889;0.0523598775598298;455.889;0.0523598775598298;;;514.5024000000001;517.5504000000001
CYKM;0.7714537862610263;-1.4242998897883676;233.324;5.209344432286669;1238.619;22.732;31;;314.51;0.0523598775598298;314.51;0.0523598775598298;;;234.08640000000003;230.4288
CYKM;0.7714731845547573;-1.4242008638883032;233.324;3.823283003767888;628.742;14.781;23;;;;;;;;235.3056;233.47680000000005
CYKX;0.8414278380582958;-1.3959364439560482;349.453;1.237379342815507;1372.272;27.396;8;;381.336;0.0523598775598298;381.336;0.0523598775598298;;;352.65360000000004;346.25280000000004
CYKY;0.8991642758355349;-1.905560146495507;690.9816000000001;1.568811014770753;1068.027;22.462;8;;;;;;;;689.1528000000001;693.7248000000001
CYLD;0.8346594778660691;-1.454676622986949;443.103;1.5855988132469108;1519.97;30.211;10;;455.185;0.0523598775598298;455.185;0.0523598775598298;;;448.056;433.4256
CYLD;0.8346201429247537;-1.4547875004740127;443.103;0.6892344136967927;905.055;20.684;5;;147.727;0.0523598775598298;147.727;0.0523598775598298;;;445.3128;445.6176
CYLJ;0.944637873033385;-1.8940824267414569;479.602;4.889351403902899;1518.981;28.69;27;;;;;;;;478.2312;480.6696
CYLJ;0.944666610596134;-1.8939324444788557;479.602;6.281754660791727;694.0;20.132;35;;;;;;;;478.536;480.9744
CYLL;0.9304228033872476;-1.9211289966310836;665.302;1.5696927551088604;1704.735;41.679;8;;547.568;0.0523598775598298;547.568;0.0523598775598298;;;668.4264000000001;657.7584
CYLR;0.9863430049623876;-1.7450760748402303;289.712;3.2479462114222453;910.24;23.738;17;;;;;;;;292.3032;287.1216
CYLS;0.7764281641609754;-1.3885077069383809;293.674;4.649290091937339;1827.454;29.349;28;;516.238;0.0523598775598298;608.927;0.0523598775598298;92.689;;290.806;296.305
CYLT;1.4402080374399044;-1.0869680988014454;29.8704;0.8330788132326814;1464.589;46.902;5;;;;;;;;30.48;29.260800000000003
CYLW;0.8719177250444723;-2.083537979796174;424.738;3.0518457290571424;2683.332;58.295;16;;686.759;0.0558505360638185;930.844;0.0523598775598298;350.108;106.022;435.472;415.776
CYME;0.8527039579482362;-1.177265433777416;29.5656;1.2406999364371816;1552.808;45.95;9;;;;;;;;27.7368;31.3944
CYMJ;0.8784230818244083;-1.8422688566278105;574.497;0.7609110194590426;888.826;30.313;3;;;;;;;;574.497;574.497
CYMJ;0.8784665597497241;-1.8423555628070896;574.497;2.069318648032854;2536.138;48.152;11;L;978.489;0.0523598775598298;967.726;0.0523598775598298;;;573.6336;573.024
CYMJ;0.8783793405738383;-1.8423855389738129;574.497;2.0695901339980014;2219.626;47.589;11;R;805.013;0.0523598775598298;805.013;0.0523598775598298;;;574.497;574.497
CYML;0.830734685171271;-1.2256362856156464;294.284;2.211681647006235;1371.487;45.228;15;;;;;;;;297.7896;290.7792
CYMM;0.9887849663370232;-1.9412149866950972;367.5888;1.5705275460900894;2262.455;45.731;8;;823.406;0.0523598775598298;663.077;0.0523598775598298;;137.626;367.284;367.937
CYMO;0.8952154444708583;-1.4067854522341232;7.772;0.7668949157060903;1207.762;27.851;6;;299.081;0.0523598775598298;299.081;0.0523598775598298;;;7.62;7.315200000000001
CYMO;0.8952187214073558;-1.4069718084918474;7.772;5.2919119449412415;1077.066;27.244;32;;;;;;;;7.315200000000001;8.8392
CYMT;0.8686827567407719;-1.3007586270141285;385.8768;0.4923448505235711;1975.092;68.74;4;;;;682.746;0.0523598775598298;;;384.6576;387.096
CYNA;0.8759827530663489;-1.078419164448777;11.2776;2.0596625266797326;1372.671;28.447;14;;381.535;0.0523598775598298;381.535;0.0523598775598298;;;10.668;11.8872
CYND;0.7945037166231461;-1.3188337406008752;64.00800000000001;4.45680331378849;1826.562;43.31;27;;608.481;0.0523598775598298;608.481;0.0523598775598298;;;64.31280000000001;63.7032
CYNJ;0.856973256147357;-2.1402627882654683;9.601;0.5516831129382349;626.659;23.48;1;;229.493;0.0785398163397448;60.6552;0.0698131700797731;24.122;22.285;9.077;10.425
CYNJ;0.8570087582433047;-2.1403107017584;9.601;1.5938445165782031;833.881;22.774;7;;;;;;175.756;95.989;8.383;10.298
CYNL;1.0170929578213517;-1.8165715653410528;479.7552;2.880364861120672;1399.389;31.35;16;;;;;;;;487.68;471.8304
CYNM;0.8685066799207513;-1.3579137362567004;278.2824;2.333959693653638;1515.545;30.63;15;;452.973;0.0523598775598298;;;;;276.7584;279.8064
