@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AYEM;-0.08401949316627956;2.511715703939907;66.837;6.150234851408918;576.734;52.087;1;;;;;;;;66.837;66.837
AYEN;-0.12074480514007807;2.5500254010563728;1109.0;2.9620199156423013;399.018;25.0;16;;;;;;;;1124.314;1093.703
AYEO;-0.15923278125591325;2.5838121065720836;655.669;3.9571134545474114;518.303;19.878;22;;;;;;;;643.938;667.4
AYER;-0.14404985671187745;2.565194262081273;2009.2416;3.412737930467522;328.342;15.0;19;;;;;;;;2027.815;1990.664
AYES;-0.10710222800340888;2.6026068432159244;44.604;4.156825546733666;1120.79;25.0;23;;;;;;;;48.25;40.958
AYET;-0.12631567910933986;2.462771988986295;16.449;5.6210484042103595;710.345;28.336;32;;;;;;;;17.408;15.492
AYEU;-0.027231652433343422;2.6115425497020617;3.581;4.299009841444935;684.632;25.0;24;;;;;;;;2.919;4.244
AYEV;-0.11530402554976936;2.5115410588290463;1107.956;5.103796518436938;1186.817;25.0;29;;;;;;;;1108.392;1107.521
AYEW;-0.10967836237260285;2.5758008550808267;1791.844;1.1783019722174313;485.898;20.02;6;;;;;;;;1816.4;1767.29
AYFA;-0.14920601096068395;2.5671383124606795;1341.754;0.43832987723407496;387.88;19.629;2;;;;;;;;1367.068;1316.441
AYFE;-0.0908957172343268;2.4731082347248;1413.814;5.261673766584589;612.055;25.0;30;;;;;;;;1422.633;1405.0
AYFI;-0.11557427333238854;2.5805405614152868;12.578;2.9484635942762107;1617.229;12.934;16;;;;;;;;13.382;11.775
AYFK;-0.09299042867032323;2.5288903855971925;120.028;1.1490788773537393;420.566;38.264;6;;;;;;;;120.66;119.397
AYFO;-0.11360639689386458;2.4972003966905247;234.228;2.2103062577424932;623.325;25.0;12;;;;;;;;236.33;232.126
AYFR;-0.08046712430442902;2.477673959137929;52.435;3.5611994763665136;751.712;16.22;20;;;;;;;;53.152;51.72
AYFS;-0.055825685363874444;2.4691603064682175;361.785;1.6785667429141173;554.01;21.336000000000002;9;;;;;;;;360.059;363.512
AYFU;-0.11158364932402345;2.4860572521528757;135.122;4.208464254246572;767.597;25.0;24;;;;;;;;135.534;134.711
AYGA;-0.10616440388784154;2.537557461312828;1584.6552000000001;6.1970826301251;1644.475;27.931;35;L;;;;;;;1551.7368000000001;1609.6488000000002
AYGA;-0.10612510405656013;2.53757274588092;1584.6552000000001;6.195737330337662;1253.871;15.5448;35;R;;;;;;;1565.743;1609.6488000000002
AYGB;-0.12003896472184862;2.508419402308094;55.016;5.5136748759630425;1144.113;46.589;32;;;;;;;;54.864000000000004;55.168800000000005
AYGC;-0.16102434680752392;2.59172774953991;92.402;3.9367693731873903;446.83680000000004;31.714;22;;;;;;;;91.206;93.599
AYGD;-0.11603340139405806;2.5377155266854565;1545.291;3.5562865490550752;486.071;25.0;20;;;;;;;;1558.831;1531.751
AYGE;-0.07166163898347816;2.501174649670305;17.446;5.32505662010124;413.646;15.0;30;;;;;;;;15.418;19.476
AYGF;-0.14187157754352098;2.5634133329193776;1950.877;5.350504044194093;653.35;25.0;30;;;;;;;;1976.649;1925.106
AYGG;-0.1392852963745292;2.569364015532051;765.86;2.3514028632639197;924.182;25.0;13;;;;;;;;776.447;755.274
AYGH;-0.09941033933108545;2.55013425776593;1213.635;0.403887253069246;571.527;30.643;2;;;;;;;;1225.372;1201.899
AYGI;-0.13746906602410205;2.5681252399092167;756.959;5.460460834267287;1546.418;33.36;31;;;;;;;;757.285;756.635
AYGJ;-0.161034037176881;2.6693994305000457;3.52;2.1770553618442188;1537.201;45.495;12;;;;;;;;2.202;4.84
AYGM;-0.1187365404592217;2.5442688535244904;1686.409;0.4707462090439235;473.328;25.0;2;;;;;;;;1717.292;1655.527
AYGN;-0.1799508787164044;2.623825646820455;19.964;4.908564337374703;1690.738;28.336;27;;540.569;0.05235987755982989;540.569;0.05235987755982989;;;14.020800000000001;25.908
AYGO;-0.08575167594721664;2.5218340412035536;78.298;3.0296472353668773;585.731;38.539;17;;;;;;;;80.0;76.596
AYGP;-0.10563909341226599;2.5474544805272132;465.011;5.40049865155162;1705.741;60.243;30;L;;;;;;;469.743;460.28
AYGP;-0.10561442276177722;2.547453910964441;465.011;5.397311331271627;1525.658;69.371;30;R;;;;;;;468.84;461.183
AYGQ;-0.0917841005704872;2.482429558614402;1937.0;2.0123123549383646;576.954;25.0;11;;;;;;;;1971.573;1902.422
AYGR;-0.1536664072226633;2.58847933019211;90.982;0.6596341008218669;1666.682;31.826;3;;;;;;;;102.108;79.8576
AYGS;-0.10651199322347543;2.473814235088739;39.128;0.8152725104182298;445.483;25.0;4;;;;;;;;39.561;38.696
AYGT;-0.109446378675265;2.6237842950027486;2.191;4.884445632441393;764.219;18.125;27;;;;;;;;2.161;2.222
AYGU;-0.062146708614150524;2.4821674192990573;284.043;4.897035565000655;797.564;44.924;28;;;;;;;;286.643;281.444
